Mois,Heure,Type,Nombre_De_Vols
2,0,Départ,27
2,6,Arrivée,3
2,7,Arrivée,42
2,7,Départ,414
2,8,Arrivée,44
2,8,Départ,121
2,9,Arrivée,525
2,9,Départ,120
2,10,Arrivée,87
2,10,Départ,67
2,11,Arrivée,133
2,11,Départ,470
2,12,Arrivée,101
2,12,Départ,143
2,13,Arrivée,325
2,13,Départ,149
2,14,Arrivée,155
2,14,Départ,74
2,15,Arrivée,62
2,15,Départ,315
2,16,Arrivée,145
2,16,Départ,72
2,17,Arrivée,213
2,17,Départ,55
2,18,Arrivée,224
2,18,Départ,85
2,19,Arrivée,22
2,19,Départ,271
2,20,Arrivée,146
2,20,Départ,212
2,21,Arrivée,156
2,21,Départ,29
2,22,Arrivée,449
2,22,Départ,103
2,23,Arrivée,40
2,23,Départ,49
3,0,Arrivée,2
3,0,Départ,31
3,1,Départ,2
3,2,Arrivée,1
3,3,Arrivée,2
3,4,Départ,1
3,5,Arrivée,1
3,5,Départ,1
3,6,Arrivée,3
3,6,Départ,1
3,7,Arrivée,49
3,7,Départ,453
3,8,Arrivée,60
3,8,Départ,181
3,9,Arrivée,581
3,9,Départ,137
3,10,Arrivée,122
3,10,Départ,91
3,11,Arrivée,153
3,11,Départ,514
3,12,Arrivée,150
3,12,Départ,231
3,13,Arrivée,355
3,13,Départ,182
3,14,Arrivée,235
3,14,Départ,88
3,15,Arrivée,93
3,15,Départ,335
3,16,Arrivée,177
3,16,Départ,115
3,17,Arrivée,242
3,17,Départ,83
3,18,Arrivée,256
3,18,Départ,98
3,19,Arrivée,32
3,19,Départ,293
3,20,Arrivée,172
3,20,Départ,264
3,21,Arrivée,180
3,21,Départ,36
3,22,Arrivée,513
3,22,Départ,132
3,23,Arrivée,39
3,23,Départ,51
4,0,Départ,122
4,1,Départ,10
4,2,Départ,16
4,6,Arrivée,25
4,6,Départ,10
4,7,Arrivée,34
4,7,Départ,348
4,8,Arrivée,52
4,8,Départ,269
4,9,Arrivée,535
4,9,Départ,90
4,10,Arrivée,125
4,10,Départ,94
4,11,Arrivée,169
4,11,Départ,584
4,12,Arrivée,114
4,12,Départ,183
4,13,Arrivée,147
4,13,Départ,140
4,14,Arrivée,471
4,14,Départ,106
4,15,Arrivée,125
4,15,Départ,116
4,16,Arrivée,195
4,16,Départ,425
4,17,Arrivée,292
4,17,Départ,173
4,18,Arrivée,278
4,18,Départ,198
4,19,Arrivée,44
4,19,Départ,219
4,20,Arrivée,92
4,20,Départ,316
4,21,Arrivée,128
4,21,Départ,31
4,22,Arrivée,701
4,22,Départ,95
4,23,Arrivée,50
4,23,Départ,58
5,0,Départ,124
5,1,Départ,16
5,2,Départ,36
5,4,Arrivée,1
5,6,Arrivée,54
5,6,Départ,11
5,7,Arrivée,67
5,7,Départ,369
5,8,Arrivée,57
5,8,Départ,333
5,9,Arrivée,535
5,9,Départ,107
5,10,Arrivée,176
5,10,Départ,162
5,11,Arrivée,209
5,11,Départ,625
5,12,Arrivée,169
5,12,Départ,258
5,13,Arrivée,164
5,13,Départ,180
5,14,Arrivée,551
5,14,Départ,167
5,15,Arrivée,166
5,15,Départ,155
5,16,Arrivée,264
5,16,Départ,445
5,17,Arrivée,398
5,17,Départ,224
5,18,Arrivée,325
5,18,Départ,246
5,19,Arrivée,61
5,19,Départ,274
5,20,Arrivée,117
5,20,Départ,389
5,21,Arrivée,131
5,21,Départ,46
5,22,Arrivée,870
5,22,Départ,108
5,23,Arrivée,64
5,23,Départ,73
6,0,Départ,132
6,1,Départ,4
6,2,Départ,40
6,6,Arrivée,51
6,6,Départ,9
6,7,Arrivée,90
6,7,Départ,419
6,8,Arrivée,51
6,8,Départ,273
6,9,Arrivée,531
6,9,Départ,122
6,10,Arrivée,132
6,10,Départ,216
6,11,Arrivée,226
6,11,Départ,621
6,12,Arrivée,177
6,12,Départ,252
6,13,Arrivée,172
6,13,Départ,163
6,14,Arrivée,560
6,14,Départ,179
6,15,Arrivée,138
6,15,Départ,139
6,16,Arrivée,250
6,16,Départ,457
6,17,Arrivée,334
6,17,Départ,179
6,18,Arrivée,314
6,18,Départ,242
6,19,Arrivée,54
6,19,Départ,286
6,20,Arrivée,87
6,20,Départ,311
6,21,Arrivée,151
6,21,Départ,41
6,22,Arrivée,846
6,22,Départ,104
6,23,Arrivée,66
6,23,Départ,62
7,0,Arrivée,1
7,0,Départ,125
7,1,Arrivée,1
7,1,Départ,5
7,2,Arrivée,1
7,2,Départ,37
7,3,Départ,1
7,6,Arrivée,47
7,6,Départ,10
7,7,Arrivée,90
7,7,Départ,431
7,8,Arrivée,48
7,8,Départ,213
7,9,Arrivée,536
7,9,Départ,146
7,10,Arrivée,134
7,10,Départ,165
7,11,Arrivée,239
7,11,Départ,655
7,12,Arrivée,156
7,12,Départ,176
7,13,Arrivée,252
7,13,Départ,165
7,14,Arrivée,395
7,14,Départ,163
7,15,Arrivée,113
7,15,Départ,247
7,16,Arrivée,280
7,16,Départ,354
7,17,Arrivée,326
7,17,Départ,175
7,18,Arrivée,322
7,18,Départ,240
7,19,Arrivée,34
7,19,Départ,288
7,20,Arrivée,78
7,20,Départ,332
7,21,Arrivée,148
7,21,Départ,50
7,22,Arrivée,857
7,22,Départ,90
7,23,Arrivée,72
7,23,Départ,58
8,0,Départ,129
8,1,Départ,4
8,2,Départ,34
8,4,Arrivée,1
8,5,Départ,1
8,6,Arrivée,45
8,6,Départ,8
8,7,Arrivée,86
8,7,Départ,417
8,8,Arrivée,54
8,8,Départ,205
8,9,Arrivée,533
8,9,Départ,147
8,10,Arrivée,145
8,10,Départ,168
8,11,Arrivée,242
8,11,Départ,642
8,12,Arrivée,148
8,12,Départ,150
8,13,Arrivée,255
8,13,Départ,166
8,14,Arrivée,330
8,14,Départ,181
8,15,Arrivée,114
8,15,Départ,254
8,16,Arrivée,269
8,16,Départ,313
8,17,Arrivée,321
8,17,Départ,189
8,18,Arrivée,329
8,18,Départ,232
8,19,Arrivée,32
8,19,Départ,281
8,20,Arrivée,80
8,20,Départ,346
8,21,Arrivée,134
8,21,Départ,50
8,22,Arrivée,861
8,22,Départ,75
8,23,Arrivée,75
8,23,Départ,63
9,0,Arrivée,1
9,0,Départ,123
9,1,Départ,4
9,2,Départ,42
9,6,Arrivée,50
9,6,Départ,11
9,7,Arrivée,104
9,7,Départ,445
9,8,Arrivée,56
9,8,Départ,246
9,9,Arrivée,522
9,9,Départ,125
9,10,Arrivée,161
9,10,Départ,192
9,11,Arrivée,216
9,11,Départ,654
9,12,Arrivée,148
9,12,Départ,201
9,13,Arrivée,172
9,13,Départ,165
9,14,Arrivée,433
9,14,Départ,150
9,15,Arrivée,151
9,15,Départ,128
9,16,Arrivée,251
9,16,Départ,387
9,17,Arrivée,293
9,17,Départ,185
9,18,Arrivée,296
9,18,Départ,236
9,19,Arrivée,49
9,19,Départ,266
9,20,Arrivée,95
9,20,Départ,308
9,21,Arrivée,158
