YEAR;MONTH_NUM;MONTH_MON;FLT_DATE;APT_ICAO;APT_NAME;STATE_NAME;FLT_ARR_1;DLY_APT_ARR_1;DLY_APT_ARR_A_1;DLY_APT_ARR_C_1;DLY_APT_ARR_D_1;DLY_APT_ARR_E_1;DLY_APT_ARR_G_1;DLY_APT_ARR_I_1;DLY_APT_ARR_M_1;DLY_APT_ARR_N_1;DLY_APT_ARR_O_1;DLY_APT_ARR_P_1;DLY_APT_ARR_R_1;DLY_APT_ARR_S_1;DLY_APT_ARR_T_1;DLY_APT_ARR_V_1;DLY_APT_ARR_W_1;DLY_APT_ARR_NA_1;FLT_ARR_1_DLY;FLT_ARR_1_DLY_15;ATFM_VERSION;Pivot Label
2016;1;JAN;01/01/2016;LFRS;Nantes-Atlantique;France;46;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;1;JAN;02/01/2016;LFRS;Nantes-Atlantique;France;48;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;1;JAN;03/01/2016;LFRS;Nantes-Atlantique;France;70;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;1;JAN;04/01/2016;LFRS;Nantes-Atlantique;France;58;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;1;JAN;05/01/2016;LFRS;Nantes-Atlantique;France;49;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;1;JAN;06/01/2016;LFRS;Nantes-Atlantique;France;50;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;1;JAN;07/01/2016;LFRS;Nantes-Atlantique;France;61;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;1;JAN;08/01/2016;LFRS;Nantes-Atlantique;France;59;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;1;JAN;09/01/2016;LFRS;Nantes-Atlantique;France;32;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;1;JAN;10/01/2016;LFRS;Nantes-Atlantique;France;56;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;1;JAN;11/01/2016;LFRS;Nantes-Atlantique;France;55;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;1;JAN;12/01/2016;LFRS;Nantes-Atlantique;France;49;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;1;JAN;13/01/2016;LFRS;Nantes-Atlantique;France;49;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;1;JAN;14/01/2016;LFRS;Nantes-Atlantique;France;64;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;1;JAN;15/01/2016;LFRS;Nantes-Atlantique;France;63;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;1;JAN;16/01/2016;LFRS;Nantes-Atlantique;France;29;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;1;JAN;17/01/2016;LFRS;Nantes-Atlantique;France;56;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;1;JAN;18/01/2016;LFRS;Nantes-Atlantique;France;56;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;1;JAN;19/01/2016;LFRS;Nantes-Atlantique;France;53;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;1;JAN;20/01/2016;LFRS;Nantes-Atlantique;France;52;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;1;JAN;21/01/2016;LFRS;Nantes-Atlantique;France;63;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;1;JAN;22/01/2016;LFRS;Nantes-Atlantique;France;66;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;1;JAN;23/01/2016;LFRS;Nantes-Atlantique;France;30;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;1;JAN;24/01/2016;LFRS;Nantes-Atlantique;France;58;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;1;JAN;25/01/2016;LFRS;Nantes-Atlantique;France;62;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;1;JAN;26/01/2016;LFRS;Nantes-Atlantique;France;36;1033;0;0;0;0;0;1033;0;0;0;0;0;0;0;0;0;0;13;12;v1;Nantes-Atlantique (LFRS)
2016;1;JAN;27/01/2016;LFRS;Nantes-Atlantique;France;54;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;1;JAN;28/01/2016;LFRS;Nantes-Atlantique;France;68;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;1;JAN;29/01/2016;LFRS;Nantes-Atlantique;France;71;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;1;JAN;30/01/2016;LFRS;Nantes-Atlantique;France;28;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;1;JAN;31/01/2016;LFRS;Nantes-Atlantique;France;58;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;2;FEB;01/02/2016;LFRS;Nantes-Atlantique;France;60;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;2;FEB;02/02/2016;LFRS;Nantes-Atlantique;France;52;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;2;FEB;03/02/2016;LFRS;Nantes-Atlantique;France;57;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;2;FEB;04/02/2016;LFRS;Nantes-Atlantique;France;67;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;2;FEB;05/02/2016;LFRS;Nantes-Atlantique;France;69;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;2;FEB;06/02/2016;LFRS;Nantes-Atlantique;France;40;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;2;FEB;07/02/2016;LFRS;Nantes-Atlantique;France;58;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;2;FEB;08/02/2016;LFRS;Nantes-Atlantique;France;68;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;2;FEB;09/02/2016;LFRS;Nantes-Atlantique;France;55;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;2;FEB;10/02/2016;LFRS;Nantes-Atlantique;France;59;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;2;FEB;11/02/2016;LFRS;Nantes-Atlantique;France;71;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;2;FEB;12/02/2016;LFRS;Nantes-Atlantique;France;72;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;2;FEB;13/02/2016;LFRS;Nantes-Atlantique;France;42;137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;137;0;4;3;v1;Nantes-Atlantique (LFRS)
2016;2;FEB;14/02/2016;LFRS;Nantes-Atlantique;France;63;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;2;FEB;15/02/2016;LFRS;Nantes-Atlantique;France;69;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;2;FEB;16/02/2016;LFRS;Nantes-Atlantique;France;60;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;2;FEB;17/02/2016;LFRS;Nantes-Atlantique;France;60;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;2;FEB;18/02/2016;LFRS;Nantes-Atlantique;France;74;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;2;FEB;19/02/2016;LFRS;Nantes-Atlantique;France;70;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;2;FEB;20/02/2016;LFRS;Nantes-Atlantique;France;37;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
2016;2;FEB;21/02/2016;LFRS;Nantes-Atlantique;France;62;;;;;;;;;;;;;;;;;;;;v1;Nantes-Atlantique (LFRS)
