,Compagnie,Année,Mois,Moyenne_Retard
380,Trade Air,2024,2,27.0
170,Dhl Air,2024,2,19.0
296,Oyonnair,2024,2,17.0
285,Nouvelair Tunisie,2024,2,14.5
329,Royal Air Maroc,2024,2,13.375
328,Quick Air Jet Charter,2024,3,53.0
111,Amelia,2024,3,30.0
214,Heli Air Services,2024,3,26.0
53,Air Explore,2024,3,25.0
133,China Eastern Airlines,2024,3,24.0
381,Trade Air,2024,4,20.0
331,Royal Air Maroc,2024,4,18.444444444444443
156,Corsair,2024,4,17.75
27,Air Baltic,2024,4,16.666666666666668
262,Lot - Polish Airlines,2024,4,16.25
123,Asl Airlines Ireland,2024,5,45.5
171,Dhl Air,2024,5,35.0
282,Nile Air,2024,5,22.0
131,Blue Bird Airways,2024,5,20.5
253,Latam Airlines,2024,5,19.25
411,Vistajet,2024,6,33.0
300,Oyonnair,2024,6,32.5
38,Air Charter Scotland,2024,6,26.0
124,Asl Airlines Ireland,2024,6,25.333333333333332
447,Wind Rose Aviation Company,2024,6,23.5
125,Asl Airlines Ireland,2024,7,67.0
153,Comlux,2024,7,34.0
98,Aliserio,2024,7,32.0
259,Life Line Aviation,2024,7,26.0
270,Lufthansa,2024,7,19.0
126,Asl Airlines Ireland,2024,8,51.0
290,Nouvelair Tunisie,2024,8,23.5
40,Air Charters Europe,2024,8,22.0
130,Belgian Air Component,2024,8,17.0
186,Electra Airways,2024,8,17.0
48,Air Corsica,2024,9,35.0
77,Air Montenegro,2024,9,27.5
112,Amelia,2024,9,25.0
302,Oyonnair,2024,9,25.0
41,Air Charters Europe,2024,9,23.0
0,Acass Ireland,2024,10,46.0
277,Malta Medair,2024,10,24.0
413,Vistajet,2024,10,22.0
276,Malta Air,2024,10,21.0
360,Sparfell Luftfahrt,2024,10,21.0
128,Asl Airlines Ireland,2024,11,34.0
354,Sky Angkor,2024,11,31.0
304,Oyonnair,2024,11,22.5
338,Royal Air Maroc,2024,11,18.5
114,American Airlines,2024,11,15.0
9,Aegean Airlines,2024,12,25.0
157,Corsair,2024,12,22.5
201,France - 	Police Aux Frontiers,2024,12,22.0
213,Gol,2024,12,18.181818181818183
339,Royal Air Maroc,2024,12,15.9
