Compagnie,Année,Mois,Type,Nombre_De_Vols
247 Aviation,2024,11,Arrivée,1
2Excel Aviation,2024,2,Arrivée,2
2Excel Aviation,2024,2,Départ,4
Acass Ireland,2024,10,Arrivée,1
Acass Ireland,2024,10,Départ,1
Aegean Airlines,2024,4,Arrivée,34
Aegean Airlines,2024,4,Départ,31
Aegean Airlines,2024,5,Arrivée,66
Aegean Airlines,2024,5,Départ,67
Aegean Airlines,2024,6,Arrivée,61
Aegean Airlines,2024,6,Départ,61
Aegean Airlines,2024,7,Arrivée,53
Aegean Airlines,2024,7,Départ,54
Aegean Airlines,2024,8,Arrivée,52
Aegean Airlines,2024,8,Départ,53
Aegean Airlines,2024,9,Arrivée,55
Aegean Airlines,2024,9,Départ,54
Aegean Airlines,2024,10,Arrivée,51
Aegean Airlines,2024,10,Départ,49
Aegean Airlines,2024,11,Arrivée,6
Aegean Airlines,2024,11,Départ,6
Aegean Airlines,2024,12,Arrivée,4
Aegean Airlines,2024,12,Départ,4
Aer Lingus,2024,5,Arrivée,27
Aer Lingus,2024,5,Départ,27
Aer Lingus,2024,6,Arrivée,26
Aer Lingus,2024,6,Départ,26
Aer Lingus,2024,7,Arrivée,26
Aer Lingus,2024,7,Départ,26
Aer Lingus,2024,8,Arrivée,27
Aer Lingus,2024,8,Départ,27
Aer Lingus,2024,9,Arrivée,27
Aer Lingus,2024,9,Départ,26
Aero4M,2024,5,Arrivée,1
Aero4M,2024,8,Arrivée,1
Aeromexico,2024,2,Arrivée,125
Aeromexico,2024,2,Départ,125
Aeromexico,2024,3,Arrivée,151
Aeromexico,2024,3,Départ,151
Aeromexico,2024,4,Arrivée,132
Aeromexico,2024,4,Départ,127
Aeromexico,2024,5,Arrivée,156
Aeromexico,2024,5,Départ,145
Aeromexico,2024,6,Arrivée,158
Aeromexico,2024,6,Départ,149
Aeromexico,2024,7,Arrivée,135
Aeromexico,2024,7,Départ,130
Aeromexico,2024,8,Arrivée,134
Aeromexico,2024,8,Départ,125
Aeromexico,2024,9,Arrivée,139
Aeromexico,2024,9,Départ,131
Aeromexico,2024,10,Arrivée,143
Aeromexico,2024,10,Départ,136
Aeromexico,2024,11,Arrivée,114
Aeromexico,2024,11,Départ,115
Aeromexico,2024,12,Arrivée,142
Aeromexico,2024,12,Départ,140
Aeroways,2024,12,Arrivée,1
Aeroways,2024,12,Départ,1
Air Baltic,2024,2,Arrivée,2
Air Baltic,2024,2,Départ,2
Air Baltic,2024,3,Arrivée,4
Air Baltic,2024,3,Départ,4
Air Baltic,2024,4,Arrivée,8
Air Baltic,2024,4,Départ,8
Air Baltic,2024,5,Arrivée,20
Air Baltic,2024,5,Départ,20
Air Baltic,2024,6,Arrivée,13
Air Baltic,2024,6,Départ,12
Air Baltic,2024,7,Arrivée,13
Air Baltic,2024,7,Départ,13
Air Baltic,2024,8,Arrivée,15
Air Baltic,2024,8,Départ,15
Air Baltic,2024,9,Arrivée,18
Air Baltic,2024,9,Départ,18
Air Baltic,2024,10,Arrivée,15
Air Baltic,2024,10,Départ,15
Air Cairo,2024,2,Arrivée,3
Air Cairo,2024,2,Départ,2
Air Cairo,2024,3,Arrivée,5
Air Cairo,2024,3,Départ,5
Air Cairo,2024,4,Arrivée,4
Air Cairo,2024,4,Départ,4
Air Cairo,2024,5,Arrivée,4
Air Cairo,2024,5,Départ,4
Air Cairo,2024,6,Arrivée,2
Air Cairo,2024,6,Départ,2
Air Charter Scotland,2024,6,Départ,1
Air Charters Europe,2024,5,Arrivée,1
Air Charters Europe,2024,5,Départ,1
Air Charters Europe,2024,6,Arrivée,2
Air Charters Europe,2024,6,Départ,2
Air Charters Europe,2024,8,Arrivée,1
Air Charters Europe,2024,8,Départ,2
Air Charters Europe,2024,9,Arrivée,2
Air Charters Europe,2024,9,Départ,3
Air Charters Europe,2024,11,Arrivée,2
Air Charters Europe,2024,11,Départ,2
Air Corsica,2024,2,Arrivée,30
Air Corsica,2024,2,Départ,31
Air Corsica,2024,3,Arrivée,37
Air Corsica,2024,3,Départ,37
Air Corsica,2024,4,Arrivée,25
Air Corsica,2024,4,Départ,25
Air Corsica,2024,5,Arrivée,26
Air Corsica,2024,5,Départ,26
Air Corsica,2024,6,Arrivée,33
Air Corsica,2024,6,Départ,33
Air Corsica,2024,7,Arrivée,16
Air Corsica,2024,7,Départ,16
Air Corsica,2024,8,Arrivée,8
Air Corsica,2024,8,Départ,8
Air Corsica,2024,9,Arrivée,34
Air Corsica,2024,9,Départ,34
Air Corsica,2024,10,Arrivée,30
Air Corsica,2024,10,Départ,30
Air Corsica,2024,11,Arrivée,30
Air Corsica,2024,11,Départ,32
Air Corsica,2024,12,Arrivée,24
Air Corsica,2024,12,Départ,24
Air Dolomiti,2024,12,Arrivée,2
Air Dolomiti,2024,12,Départ,2
Air Explore,2024,3,Arrivée,1
Air Explore,2024,3,Départ,1
Air France,2024,2,Arrivée,269
Air France,2024,2,Départ,271
Air France,2024,3,Arrivée,293
Air France,2024,3,Départ,294
Air France,2024,4,Arrivée,271
Air France,2024,4,Départ,272
Air France,2024,5,Arrivée,278
Air France,2024,5,Départ,277
Air France,2024,6,Arrivée,297
Air France,2024,6,Départ,297
Air France,2024,7,Arrivée,270
Air France,2024,7,Départ,270
Air France,2024,8,Arrivée,229
Air France,2024,8,Départ,231
Air France,2024,9,Arrivée,279
Air France,2024,9,Départ,279
Air France,2024,10,Arrivée,290
Air France,2024,10,Départ,292
Air France,2024,11,Arrivée,264
Air France,2024,11,Départ,266
Air France,2024,12,Arrivée,285
